PostDate,PostText,PostLikes,PostComments,PostShares,PostImages,PostArticles
sSrnodoetptc1hhu205261M5ft 5a01h3r0cmtgfct," Out now: our 2022 #TechVision report, all about the #metaverse.  Find it here: https://accntu.re/3tfNBwX",437,49 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/275889942_10166072499060374_8017521431984910936_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-5&_nc_sid=9267fe&_nc_ohc=IzneYeCKHOYAX8rDFHr&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_1e5ABEZ8iY6_L1KWmBGzInYfax2f2xXonYKQ-5pNXqw&oe=626DE64B,none
dSospentorl54t7amchf04a4uggmi00t1a7hlim1fi,Advanced technology is helping UK charity The Felix Project scale its impact while minimizing overhead. Hear the full story here: https://accntu.re/3JbDvBQ,,none,none,none,none
19h,"From Simone Biles's withdrawal from the Olympics to a coworker opening up about their mental health challenges, there's been an increasing willingness for dialogue around our wellbeing. Here's what that means for companies, brands and individuals: https://accntu.re/3OuYTG8 #FjordTrends",55,none,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/279317345_10166180539970374_8081348179430160729_n.png?stp=dst-png_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=CmJO_50DjOcAX_3nawE&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-MOzKI5uDjdf_6BZlCZaOe506ycXdo9t4CBdf7JZuysw&oe=626EC679,none
YtrnesdoSpo:06iht6miM31eu1e27d 9rtmsl6aA5 100iu 7t51gy2a,Visibility matters and visible leadership is critical to cultivating a culture where equality rules and LGBTIQ+ people thrive.,,4 Shares,none,none,none
sdnoepSrto0M6 if 12m8P5r5 6i50m4Al:u5h4609a 1t1lp2u, Out today: a new book that will make you rethink everything you thought you knew about technology and strategy. Be one of the first to get #RadicallyHuman : https://accntu.re/3v60ZV6,64,7 Shares,none,none,none
ensdopoSrtP56uf729ltM9A0 at4ip1  r24a6u2832m i1:iac,"Welcome to the ""#Metaverse Continuum”—a spectrum of digitally enhanced worlds, realities and business models poised to revolutionize life and enterprise in the next decade: https://accntu.re/37f7E5Y #TechVision",145,9 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/279029580_10166168584725374_3118581745387434348_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=ZGZLUOh11m4AX8KKA4q&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9laelvixS5ZlukS-e1J-goCZwYf9EgTJ6iyqvf-XzNCg&oe=626E3743,none
ensdopoSrtP46uf729ltM9A0 at4ip1  r25a6u1832m i1:iac,Sustainably marketed products and services outperformedtheir conventional counterparts.   Here's how brands can prepare for the rise of values-driven consumption: https://accntu.re/3KcrVb5 #FjordTrends,98,4 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/279021812_10166166136505374_8760274142306817979_n.png?stp=dst-png_s960x960&_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=VrOhTPhM6CkAX99BFrD&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-fMiFC5iZiiK_WyoJt3HH9RIrn71b6zfgrlWx3ntd8WA&oe=626F088B,none
ensdopoSrtP06uf729ltM9A0 at0ip1  r22a6u9831m i1:iac," Here's how advanced, data-driven technology is helping UK charity @The Felix Project put fresh dinners on more tables: https://accntu.re/3DG4gNA",,5 Shares,none,none,none
AnrdsetSoop1up0 70t0rul t0tP0aiacu:Mh89 38f31tc335 a,"This is a moment of truth for technology and for people—where companies that fully embrace their newfound power to innovate with cutting-edge, human-centric technologies will gain a competitive edge.",accenture.comRadically Human Book | AccentureHow new technology is transforming business and shaping our future. Read more.,4 Shares,none,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20220217T225813Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2FRedesign-Assets%2FDotCom%2FImages%2FGlobal%2FGeneral%2F132%2FAccenture-Social-Share-Metaverse-1200x628.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHK926plufKAh-y,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3O2z3ZM%3Ffbclid%3DIwAR2IMt7qiC4HPxcbRTo3hX5LIrMZTpVNFQEvc63NHagLJ_WR26h53RcIoFA&h=AT2gbHSQuIAmSg7TFy9wT7bdN45kmO7z0maWh9C9azMB_HkraJ9pOsYLE2_KTvgNi2VyiRLB1A13gYsfJhg-2LCMpBaoL-_LOQSDR6ylbkE0fC4X8z8g5Wxq6BUkXVGXOe1w&__tn__=H-R&c[0]=AT3MJduEmnjSe6z9gIShfZobtVJaXXqozLc1DYNr0FWKlTXUiksBH2N7kKuDhH6DjOASq9r_jeQnED-dVI6RQDidYH-AVdwrUVxdLhFSnp72ZU51gEM6AwxwmN0IAMkRhVnM31iapJFWkClL3QoaXlh0iJ20uKP6KJMsJWpWvjEJyPSU
AnrdsetSoop1up2 77t0rul t0tP0aiacu:Mh89 75f31tc335 a,Will your next purse be digital?  Brands like Burberry have already launched a digital collection. Our #FjordTrends explores what brands must consider as they establish a presence in the metaverse: https://accntu.re/3j2UNGR,95,3 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/278579009_10166150808130374_8046876015746870818_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=smmb5lx6v6kAX91iFmH&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8U-5qJdelCTVABKbXDL_-ZSNm4BQ7CMgEvNbbiV9Drkg&oe=626E2228,none
