Job_post_date,company_name,job_title,Number_applicants,Location,working_Place,job_links
2 weeks ago,Accenture France,Apprenti Data Analyst,none,"Toulouse, Occitanie, France",On-site,https://www.linkedin.com/jobs/view/3013181502/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=nUvdjRAeX062ronsaEbcAg%3D%3D&trk=flagship3_search_srp_jobs
1 month ago,Accenture France,Data Engineer Cloud - F/H,2 applicants,"Toulouse, Occitanie, France",On-site,https://www.linkedin.com/jobs/view/3029984430/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=PMZHZOD3jUzLQ0Q7Ak5teA%3D%3D&trk=flagship3_search_srp_jobs
none,Avanade,MLOps Engineer H/F,none,"Paris, Île-de-France, France",none,https://www.linkedin.com/jobs/view/3047153779/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=RuqoVMEG2gJ%2Fkgt%2FF1T8mA%3D%3D&trk=flagship3_search_srp_jobs
3 days ago,Avanade,Data Engineer - Big Data Developer H/F,6 applicants,"Paris, Île-de-France, France",none,https://www.linkedin.com/jobs/view/3042291562/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=tHfgztbJ1%2BRCL4nBG%2Fbm4g%3D%3D&trk=flagship3_search_srp_jobs
1 month ago,Accenture France,Data Engineer Cloud - F/H,1 applicant,"Clermont-Ferrand, Auvergne-Rhône-Alpes, France",On-site,https://www.linkedin.com/jobs/view/3029981644/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=Hyfupg0x8m9nCcut5ysF8g%3D%3D&trk=flagship3_search_srp_jobs
2 weeks ago,Accenture France,Développeur junior – Paris F/H,none,"Paris, Île-de-France, France",On-site,https://www.linkedin.com/jobs/view/3010748904/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=9nOv2Z0U12SS%2B9FJAA5XPg%3D%3D&trk=flagship3_search_srp_jobs
1 month ago,Accenture France,Data Engineer Cloud - F/H,1 applicant,"Paris, Île-de-France, France",On-site,https://www.linkedin.com/jobs/view/3029984431/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=SCB%2BZmTdEzMuqOYw4L4N1Q%3D%3D&trk=flagship3_search_srp_jobs
1 month ago,Accenture France,Apprentissage Ingénieur études et développement junior F/H,3 applicants,"Paris, Île-de-France, France",On-site,https://www.linkedin.com/jobs/view/3031003689/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=xQj1TsBt5ocqudW3IhGA6g%3D%3D&trk=flagship3_search_srp_jobs
1 week ago,NTT DATA Europe & Latam,Monitoring Engineer,7 applicants,"Strasbourg, Grand Est, France",On-site,https://www.linkedin.com/jobs/view/3035594045/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SKILL_ASSESSMENTS&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=xKD2NG0rzlr9OD7ALFju%2FA%3D%3D&trk=flagship3_search_srp_jobs
5 days ago,Avanade,Data Engineer – Database Developer H/F,none,"Paris, Île-de-France, France",none,https://www.linkedin.com/jobs/view/2958842242/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=4KKL7zCbBeRjZPPl5%2FKhDA%3D%3D&trackingId=xCBj2pow2NEYMvgGtHmL%2Fw%3D%3D&trk=flagship3_search_srp_jobs
1 month ago,Accenture France,Développeur stagiaire - F/H,4 applicants,"Orvault, Pays de la Loire, France",On-site,https://www.linkedin.com/jobs/view/3032980181/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=yZ6DWpYsjq9sI1fPHr%2F4HA%3D%3D&trackingId=fKfalxqtf28mlEIJJjePSQ%3D%3D&trk=flagship3_search_srp_jobs
2 weeks ago,Accenture France,Développeur junior en apprentissage - F/H - Clermont-Ferrand,20 applicants,"Clermont-Ferrand, Auvergne-Rhône-Alpes, France",On-site,https://www.linkedin.com/jobs/view/3010752695/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=yZ6DWpYsjq9sI1fPHr%2F4HA%3D%3D&trackingId=x2T4oiywvLtIL5reR7D%2Bew%3D%3D&trk=flagship3_search_srp_jobs
