ratings,working_dates,review_headlines,review_links,author_job_titles,review_pros,review_cons
5.0,Current Employee,Good to join,/Reviews/Employee-Review-Accenture-RVW63300294.htm,"Apr 26, 2022 - Security Analyst",none,none
5.0,"Former Employee, more than 10 years","Great Career, Until Cuts Come",/Reviews/Employee-Review-Accenture-RVW37346661.htm,"Oct 19, 2020 - Managing Director","Highly competitive environment , talented people, well run business, financial strength of the company, good pay","Demanding work schedule, heavy travel, bureaucracy, massiveness of the company"
5.0,"Current Employee, more than 1 year",Alot of Jobs One Home,/Reviews/Employee-Review-Accenture-RVW8020149.htm,"Sep 21, 2015 - Infrastructure Manager","There are a lot of pros working for Accenutre. They have great career opportunities, a never ending supply of interesting work, competitive compensation, wonderful benefits, great people, wonderful training programs, a tremendous number of brilliant professionals in their fields ready to help, and great core values.",This is not an opportunity for those that do not want to work. At Accenture everyone has a load of work to do and often times under very tight customer time lines. It is a challenge that I enjoy but many might find it stressful.
4.0,"Current Employee, more than 8 years",Heart is in the right place,/Reviews/Employee-Review-Accenture-RVW63028788.htm,"Apr 20, 2022 - Digital Strategy Senior Manager","Despite many career ups and downs, I mostly love the people and culture at Accenture. They a progressive company that sets strong I&D goals and strives to create a great place to work. Part of consulting is constantly learning, developing new skills and getting new experiences. Work life balance is somewhat prioritized. I never work on vacations, but there are definitely grinding weeks. I think Accenture is always striving to be the best that they can be, even if they don't always get it right.","It's a huge company and sometimes it's easy to feel a little lost, especially when your network leaves to go elsewhere. There are times when it gets exhausting to be constantly needing to become an expert in a new thing, whether you have any interest in it or not. There are always difficult clients and while leadership will mostly have your back when working with a difficult or unreasonable client, they will often side with the client to maintain good relationships."
5.0,"Former Employee, more than 5 years",Great company to work for to advance in your career,/Reviews/Employee-Review-Accenture-RVW63285673.htm,"Apr 26, 2022 - IT Analyst",If you apply yourself you can advance up to manager and the sky is the limit.,There can be a lot of travel involved so it can sometimes be hard to have a good work life balance. There are positions where travel is not as much so take time to consider how important it is to be home with family.
3.0,"Current Employee, more than 1 year","Learning opportunities, competitive pay, networking, depends on the person",/Reviews/Employee-Review-Accenture-RVW63239805.htm,"Apr 25, 2022 - Technical Analyst","Competitive pay and benefits and time off
Lots of learning opportunities
Lots of potential for skills growth
Lots of opportunities to meet people and network
Lots of different projects to work on
Lots of internal initiatives and clubs and volunteering opportunities","Your experience will depend a lot on your project and where you work.
Culture is very corporate, they want extroverted, career hungry people, so if you are looking for something more relaxed this may be a conflict, though it does depend on your role / supervisors. Its important to never stop learning and never get complacent, this is advice for anywhere though. 
Not a lot of job security if you are not in management. 
Easy to get pigeon holed into one role / technology."
2.0,"Former Employee, more than 1 year",'Lord of the Flies' meets Ponzi Scheme,/Reviews/Employee-Review-Accenture-RVW60262930.htm,"Feb 24, 2022 - Consultant","Some projects have great visibility and give you the opportunity to travel internationally at a young age. If you get tapped internally you can spend time on cool projects and learn a lot.

There are very cool sides of Accenture that are worth joining -- Accenture Digital, Fjord, Accenture Interactive.","Long time's spent on the ""bench"", waiting to get called on projects. You would wait 3/4 months waiting for a project, but interviewing for new projects. Management gives no clear guidelines for skills you should be picking up to make it easier to get slotted for projects. In my starting vlass, most analysts were given projects where they mostly sat all day and did nothing.

Projects and Roles are found via interview process. You need to interview internally at shipper for roles, creating a lord of the flies type situation. Where everyone is competing, and networking all the time to get the best roles. But when you find a good role and are accepted for the role, you would often times be pulled from the project last minute because an MD had a 'pet-analyst' they were looking out for and would staff them instead.

The guidance was very unclear and unstructured. Projects are sold to internal employees as HL strategy projects, but are mostly copy-paste implementation solutions for SAP, Oracle, Salesforce, etc. Moreover, it's downright impossible to get off of projects, you could be stuck for 6-12 months in a clerical role.

If you're looking to build skills in consulting, it's only ""good"" by name itself, but overall think I would have preferred to go to a startup, or different firm."
5.0,"Current Employee, less than 1 year",Great company,/Reviews/Employee-Review-Accenture-RVW63058026.htm,"Apr 20, 2022 - Management Consulting Analyst",There is a lot of room to grow and explore your interests with each project you join. Management is really interested in helping you grow and develop your skills.,I wish Accenture put more effort into helping teams in remote projects develop relationships. Monthly lunches should be encouraged in projects especially if they're remote and team members rarely speak to each other besides giving work updates.
5.0,"Current Employee, less than 1 year",Great remote position,/Reviews/Employee-Review-Accenture-RVW63280289.htm,"Apr 26, 2022 - Recruiting Senior Analyst","Flexible schedule, good team working environment, able to influence clients to make changes in HR and staffing procedures",Regular required tech trainings with exams
4.0,"Current Employee, less than 1 year",Great if you get a project that aligns with your aspirations,/Reviews/Employee-Review-Accenture-RVW61820557.htm,"Mar 26, 2022 - Associate Software Engineer","Great benefits (both the Vision and Dental get a lot of comments on how good the insurance is)
Lots of opportunities to learn
Work from home (at least for now)
Great if you end up in the role that you were hired for and actually wanted - I did and I am happy! Others not so much.
401k match 6% dollar for dollar once you've reach the year and then the start date (January and maybe other time in the year?)
15% off Accenture Stock (ESPP)","People get hired for a specific role, but what they don't tell you is that you have to apply internally and may end up in some other role
Recruiters tell you what you want to hear about salary but realize when they say the next level is X amount - that means people being hired at that upper level start at that amount and that isn't what you will be making when you level up...
No 401k match until January after my start date even though I was told it would be at the 1 year anniversary date."
