UserName,Handle,Timestamp,comment,responding,images,Comments,Likes,Retweets
Pinned Tweet,@Accenture,2022-03-16T11:00:02.000Z,"Accenture
@Accenture
·
Mar 16"," Out now: our 2022 #TechVision report, all about the #metaverse. 

Find it here: https://accntu.re/3KOE0CY
ALT
14
71
161",https://pbs.twimg.com/media/FN91XcDWUAEFdlT?format=jpg&name=small,14,71,161
Accenture,@Accenture,2022-04-27T16:27:02.000Z,"Accenture
@Accenture
·
1h","From Simone Biles's withdrawal from the Olympics to a coworker opening up about their mental health challenges, there's been an increasing willingness for dialogue around our wellbeing. Here's what that means for companies, brands and individuals: https://accntu.re/3KZUadg
ALT",https://pbs.twimg.com/media/FRXS_ABXwAAdzNp?format=jpg&name=small,,,
Accenture,@Accenture,2022-04-26T10:00:11.000Z,"Accenture
@Accenture
·
Apr 26","#VisibilityMatters this #LDOV and every day, we celebrate the Pride community around the  and the courage it takes to live openly and authentically. Meet three inspiring women who reflect on visibility, allyship and authenticity. https://accntu.re/3xOLr9Z ‍  #PrideAtAccenture
5
15",https://pbs.twimg.com/media/FRQw2aaXEAIvAZT.jpg,,5,15
Accenture,@Accenture,2022-04-06T11:13:09.000Z,"Accenture
@Accenture
·
Apr 6","Adapting to the realities of #ClimateChange is just one of the new skillsets that mining and metals companies will need to hire for in the next decade. Learn more: https://accntu.re/3j7TRkm  #FutureWorkforce
1
2
19",https://pbs.twimg.com/media/FPqBwVDXoAE4oi0?format=jpg&name=small,1,2,19
Accenture Retweeted,@axios,2022-04-05T18:35:57.000Z,"Axios
@axios
·
Apr 5","CEO 
@juliesweet
: New 
@accenture
 employees complete part of the onboarding process through the metaverse. 

75k people have already done so. #WhatsNextSummit
5
12
34",https://pbs.twimg.com/ext_tw_video_thumb/1511412154062233600/pu/img/1A1oRqq96dgl6u05.jpg,5,12,34
Accenture,@Accenture,2022-04-05T19:26:01.000Z,"Accenture
@Accenture
·
Apr 5","As technology plays a larger role in care, apps like Careology—which helps give cancer patients more control of their experience—can affect how people feel about the treatment and support they get.  

In #FjordTrends 2022 we explore this shift: https://accntu.re/3uFntLc
ALT
4
11",https://pbs.twimg.com/media/FPmo-SZXwAEkrOG?format=png&name=small,,4,11
Accenture,@Accenture,2022-04-05T15:14:46.000Z,"Accenture
@Accenture
·
Apr 5","Which of these powerful forces will have the most impact on shaping #futureworkforce requirements for mining and metals companies?
Technological advances
37.5%
Environmental factors
37.5%
Geopolitical uncertainty
25%
80 votes
·
Final results
1
10",https://pbs.twimg.com/profile_images/1422639280900423684/eqG8iwcG_normal.jpg,1,,10
Accenture,@Accenture,2022-04-05T15:19:59.000Z,"Accenture
@Accenture
·
Apr 5","Find out what other factors are weighing heavily on mining and metals future business models: https://accntu.re/36XEicz
accenture.com
The future of talent for mining and metals | Accenture
Insight into the sector’s labor supply and demand, future workforce profiles, talent journeys, employee value propositions and sourcing options
11",https://pbs.twimg.com/card_img/1518198340621643777/HOzw5DOU?format=jpg&name=small,,,11
Accenture,@Accenture,2022-04-04T14:26:59.000Z,"Accenture
@Accenture
·
Apr 4","#Sustainability and diversity are just the first steps towards attracting #talent in mining and metals. Here’s what this means for the #FutureWorkforce: https://accntu.re/3Drsjjf
accenture.com
The future of talent for mining and metals | Accenture
Insight into the sector’s labor supply and demand, future workforce profiles, talent journeys, employee value propositions and sourcing options
1
19",https://pbs.twimg.com/card_img/1518598326744084480/K_DEdRkM?format=jpg&name=small,,1,19
Accenture,@Accenture,2022-04-04T11:03:01.000Z,"Accenture
@Accenture
·
Apr 4","From collaboration to innovation, the #cloud can help your teams do even more. https://accntu.re/3IJHpBz
1
9
31",https://pbs.twimg.com/media/FPfsQYNXwAMGAs7?format=jpg&name=small,1,9,31
Accenture Retweeted,@GirlsWhoCode,2022-04-01T19:30:01.000Z,"Girls Who Code
@GirlsWhoCode
·
Apr 1","Meet 
@LCailleteau
, the data and AI lead for Europe and the global conversational AI domain head at 
@Accenture
.
harpersbazaar.com
6 indispensable career lessons from a leading woman in tech
As a key leader in Accenture’s data and artificial intelligence operations, Laetitia Cailleteau is brimming with wisdom for women who are working (or looking to work) in tech
14
31",https://pbs.twimg.com/card_img/1515730719615684618/F6POI8Hw?format=jpg&name=small,,14,31
Accenture,@Accenture,2022-03-10T14:15:13.000Z,"Accenture
@Accenture
·
Mar 10","Dr. Isi Idemundia — an #AWS Architect, teacher and mother.  Read her incredible story + learn how you can work like Dr. Isi: https://accntu.re/3CvHS8W #CareersAZ
1
11
29",https://pbs.twimg.com/media/FNfof5VWYAsC8zL.jpg,1,11,29
Accenture,@Accenture,2022-03-08T14:00:02.000Z,"Accenture
@Accenture
·
Mar 8","How can we drive more inclusion and opportunities for women—and, by extension, accelerate equality for all? Our research identifies key steps to help drive better belonging for all: https://accntu.re/3pMMimG #IWD2022
ALT
4
29
52",https://pbs.twimg.com/media/FNVR2QUXoAEpbj4?format=jpg&name=small,4,29,52
Accenture,@Accenture,2022-03-03T20:00:02.000Z,"Accenture
@Accenture
·
Mar 3","How can companies think differently about the Metaverse, 5G and Edge to drive new growth?  
 
Tune in to watch the replay of our #MWC22 LinkedIn live and find out: https://accntu.re/35tuczd
ALT
4
11
41",https://pbs.twimg.com/media/FM80SobX0AYl-w5?format=jpg&name=small,4,11,41
Accenture,@Accenture,2022-03-02T19:30:02.000Z,"Accenture
@Accenture
·
Mar 2","Maintaining and growing consumer trust is  in the mobile payments world. Tune in to watch the replay of our #MWC22 LinkedIn live: https://accntu.re/3Cm1w7D
ALT
2
4
29",https://pbs.twimg.com/media/FM3j1bVXsAACxux?format=jpg&name=small,2,4,29
Accenture Retweeted,@brianjsmyth,2022-03-01T15:14:36.000Z,"Brian J Smyth
@brianjsmyth
·
Mar 1","Enter the Metaverse with 
@Accenture
 at #mwc22! Great to meet clients, partners and media to discuss the evolution of the internet and how the #metaverse is set to change how we live, work and play. See our full programme here https://accenture.com/gb-en/about/events/mwc_barcelona?c=acn_glb_mwcbarcelona202twitter_12823168&n=smc_0122…
2
15
59",https://pbs.twimg.com/ext_tw_video_thumb/1498677207274868739/pu/img/4CdzgtbSRfPL480K.jpg,2,15,59
Accenture,@Accenture,2022-02-28T23:00:02.000Z,"Accenture
@Accenture
·
Feb 28","How can we design the future of multimodal travel with #sustainability at its core? Tune into this replay from day one of #MWC22 to find out: https://accntu.re/3BZ5aDW
ALT
1
6
20",https://pbs.twimg.com/media/FMuAuMPWQAQQBFx?format=jpg&name=small,1,6,20
Accenture,@Accenture,2022-02-28T19:30:05.000Z,"Accenture
@Accenture
·
Feb 28","#MWC22 is officially underway! Our agenda is packed with sessions that will deliver direct insights for industries like manufacturing, mobility, fintech and more. 

Here's what we have planned for the week: https://accntu.re/36PePSe
ALT
ALT
ALT
ALT
6
30",https://pbs.twimg.com/media/FMtQq7WXIAAkgDg?format=jpg&name=360x360,,6,30
Accenture,@Accenture,2022-02-28T18:00:02.000Z,"Accenture
@Accenture
·
Feb 28","We’re going live at #MWC22! Join us for a discussion on consumer payment platforms and the critical role consumer trust plays when creating new offerings in the digital services landscape. https://accntu.re/3hogkbQ #MobilePayments
ALT
7
29",https://pbs.twimg.com/media/FMs8DxNXsAQIUgs?format=jpg&name=small,,7,29
Accenture Retweeted,@NatlGovsAssoc,2022-02-16T15:04:00.000Z,"NGA
@NatlGovsAssoc
·
Feb 16","""There really isn't any place in a company that doesn't require digital skills...not every kid graduating will go to college but every kid is entering a digital economy, so [#CSEd] is a new foundational skill that's critical..."" 
@JulieSweet
, CEO 
@Accenture
 https://nga.org/news/commentary/governors-discuss-computer-science-education-with-secretary-gina-raimondo-and-fortune-500-ceos/…
1
12
29",https://pbs.twimg.com/ext_tw_video_thumb/1493601152625225739/pu/img/gh_qiCts3igmlxUa.jpg,1,12,29
